method,price,stderr,var_reduction
BS,8.433318690109608,0.0,
naive,8.51048959611996,0.1335029923650385,
antithetic,8.489893253209765,0.10496015213524952,
control_variate,8.355585148773656,0.05929670214035876,5.1307253778727535
